track,artist,lyrics
Drivers License,Olivia Rodrigo,"I got my driver's license last week
Just like we always talked about
'Cause you were so excited for me
To finally drive up to your house
But today, I drove through the suburbs
Crying 'cause you weren't around

And you're probably with that blonde girl
Who always made me doubt
She's so much older than me
She's everything I'm insecure about
Yeah, today, I drove through the suburbs
'Cause how could I ever love someone else?

And I know we weren't perfect
But I've never felt this way for no one
And I just can't imagine
How you could be so okay now that I'm gone
Guess you didn't mean what you wrote in that song about me
'Cause you said forever, now I drive alone past your street

And all my friends are tired
Of hearing how much I miss you, but
I kinda feel sorry for them
'Cause they'll never know you the way that I do
Yeah, today, I drove through the suburbs
And pictured I was driving home to you
And I know we weren't perfect
But I've never felt this way for no one, oh
And I just can't imagine
How you could be so okay now that I'm gone
I guess you didn't mean what you wrote in that song about me
'Cause you said forever, now I drive alone past your street

Red lights, stop signs
I still see your face in the white cars, front yards
Can't drive past the places we used to go to
'Cause I still fuckin' love you, babe (Ooh, ooh-ooh, ooh, ooh-ooh)
Sidewalks we crossed
I still hear your voice in the traffic, we're laughing
Over all the noise
God, I'm so blue, know we're through
But I still fuckin' love you, babe (Ooh, ooh-ooh, ooh, ooh-ooh)

I know we weren't perfect
But I've never felt this way for no one
And I just can't imagine
How you could be so okay now that I'm gone
Guess you didn't mean what you wrote in that song about me
'Cause you said forever, now I drive alone past your street
Yeah, you said forever, now I drive alone past your street"
Up,Cardi B,"Up, up, up (Ayy), up (Uh), up, look (This is fire)
Once upon a time, man, I heard that I was ugly
Came from a bitch who nigga wanna fuck on me

I said my face bomb, ass tight
Racks stack up Shaq height
Jewelry on me, flashlight
I been lit since last night
Hit him with that good good
Make a nigga act right
Broke boys don't deserve no pussy
(I know that's right)

Big bag bussin' out the Bentley Bentayga
Man, Balenciaga Bardi back and all these bitches fucked
It's big bags bussin' out the Bentley Bentayga, man
Birkin bag, Bardi back and all you bitches fucked
If it's up, then it's up, then it's up, then it's stuck
If it's up, then it's up, then it's up, then it's stuck, huh (Ayy)
Up, then it's up, if it's up, then it's stuck (Huh)
If it's up, then it's up, then it's up, then it's stuck, huh (Woo)
I could make the party hot, I could make your body rock
Bitches say they fuckin' with me, chances are they probably not
If I had a dick, you'd probably lick it like a lollipop
Hoes speakin' cap-enese, hit 'em with karate chop
I'm forever poppin' shit, pullin' up and droppin' shit
Gotta argue with him 'cause a nigga love a toxic bitch
Niggas out here playin', gotta make 'em understand
If ain't no ring on my finger, you ain't goin' on my 'Gram

I said my face bomb, ass tight (Yeah)
Racks stack up Shaq height (Yeah)
Jewelry on me, flashlight (Huh)
I been lit since last night (Woo)
Hit him with that good good
Make a nigga act right (Ah)
Broke boys don't deserve no pussy
(I know that's right)

Big bag bussin' out the Bentley Bentayga
Man, Balenciaga Bardi back and all these bitches fucked (Woo)
It's big bags bussin' out the Bentley Bentayga, man
Birkin bag, Bardi back and all you bitches fucked
If it's up, then it's up, then it's up, then it's stuck
If it's up, then it's up, then it's up, then it's stuck, huh (Ayy)
Up, then it's up, if it's up, then it's stuck
If it's up, then it's up, then it's up, then it's stuck, huh (Ayy)

Bitches ain't fuckin' with me now and I can see why
Dirty-ass, dusty-ass bitch, you got pink eye
Bitches want smoke until I bring it to they doorstep
Tell that bitch back back, breath smell like horse sex (Ha)
Put it on him now, he will never be the same (He won't)
Tatted on my ass 'cause I really like the pain (Ah)
He nutted on my butt, I said, ""I'm glad that you came""
If that nigga had a twin, I would let 'em run a train (Skrrt)

Big bag bussin' out the Bentley Bentayga
Man, Balenciaga Bardi back and all these bitches fucked (Woo)
It's big bags bussin' out the Bentley Bentayga, man
Birkin bag, Bardi back and all you bitches fucked (Ooh)
If it's up, then it's up, then it's up, then it's stuck
If it's up, then it's up, then it's up, then it's stuck, huh (Woo)
Up, then it's up, if it's up, then it's stuck (Woo)
If it's up, then it's up, then it's up, then it's stuck, huh
Look, gotta play it safe, huh
No face, no case (Hahaha)"
Go Crazy,Chris Brown & Young Thug,"Oh, yeah
(Oh, is that Kaniel again?)
Oh
(Ayy, bring it, bring it back, bring it back, bring it back)
Oh, yeah

Laid up, got me thinkin', babe
Tell me if you with it 'cause I'm with it, babe
I haven't heard from you in a minute, babe
Just tell me what to do when I get it, babe
Gucci and Prada

Trips to your crib in the middle of the night
I know that you miss me 'cause I put it down right
Damn, babe, I can put you on a flight
You know that a nigga like me can change your life

Oh, baby
Everything you do is amazing
Ain't nobody watchin', go crazy
I got what you need
Everybody think you shy, but I know you a freak, lil' baby (Oh)
Everything you do is amazing (Yeah)
Ain't nobody watchin', go crazy (Yeah)
I got what you need (Yeah)
Everybody think you shy, but I know you a freak, lil' baby (Yeah)
I been overseas goin' crazy (Yeah)
I can tell you love it when we made up (Ayy)
Black and gray diamonds like a Raider (Raider)
Orange peel, your love is real (Yeah)
Lovin' skills, I need some lovin' skills (Yeah)
Left my dirty drawers and you love me still (Yeah)
Eyes come lazy, but she is real (Yeah)
Dressed to kill (Yeah, yeah, yeah)
We can bum-bum 'til you're tired (Oh)
I can put a stone by your eye (Oh)
I can see you never switchin' sides
You never tell me lies
Not rushin' tie-ties, yeah

Trips to your crib in the middle of the night
I know that you miss me 'cause I put it down right
Damn, babe, I can put you on a flight
You know that a nigga like me can change your life

Oh, baby
Everything you do is amazing
Ain't nobody watchin', go crazy (I got what you need)
I got what you need
Everybody think you shy, but I know you a freak, lil' baby
Yeah, get me lit
Hoes on my phone when they find out that I'm rich
Then they switch when they see I'm choosin' on my bitch
Top down, got her doin' donuts on the dick, yeah
Pose for the flick
Damn it, bust it, baby, watch you do it on a split
She don't need no hands or no pants, do your dance
Poppin' rubber bands, did the dash, make it fast (Oh)
(Ayy, bring it, bring it back, bring it back, bring it back)
Yeah, waitin' by me phone just to dick you down, down
Let me put it down, down
Now put it down, down
Watch me put it down, down (Bring it back, bring it back, bring it back)
Put it down, down

Trips to your crib in the middle of the night
I know that you miss me 'cause I put it down right
Damn, babe, I can put you on a flight
You know that a nigga like me can change your life

Oh, baby
Everything you do is amazing
Ain't nobody watchin', go crazy
I got what you need
Everybody think you shy, but I know you a freak, lil' baby (Oh)
Everything you do is amazing (Yeah)
Ain't nobody watchin', go crazy
I got what you need
Everybody think you shy, but I know you a freak, lil' baby"
34+35,Ariana Grande Feat Doja Cat & Megan Thee Stallion,"Mmm

Puedes pensar que soy loca
Por la forma en que he lo estado deseando
Si lo digo claramente
Solo dame bebés
Entonces, ¿qué haces esta noche?
Ojala que digas: ""haciéndolo bien contigo"" (Sí)
Tocando películas pero no veremos nada esta noche (Si)

No quiero mantenerte despierto (Despierto)
Pero muéstrame, ¿lo puedes mantener erecto? (Erеcto)
Porque luego tendré quе mantenerte erecto
Mierda, quizá te mantendré despierto
He estado tomando café (He estado tomando café, café)
Y he estado comiendo sanamente (Y he estado comiendo sanamente, sanamente)
Sabes que lo mantengo chirriante (Sabes que lo mantengo chirriante)
Ahorrando mi energía (Si, si, ahorrando mi energía)

¿Puedes quedarte despierto toda la noche?
Fóllame hasta la madrugada
Treinta y cuatro, treinta y cinco (Si, si, si, si)
¿Puedes quedarte despierto toda la noche?
Fóllame hasta la madrugada
Treinta y cuatro, treinta y cinco (Si, si, si, si)
¿Podemos quedarnos despiertos toda la noche? A la mierda el jet lag
Traes tu buen culo y tu bolsa de viaje
Sume los números o apóyate en eso
Juega y rebobínalo, escucha, encontrarás eso
Quiero ese seis y nueve sin Tekashi
Y quiero tu cuerpo y lo hago obvio
Despierta a los vecinos, tenemos audiencia
Ellos escuchan los aplausos, pero nosotros no los aplaudimos
Seis en punto, estoy aplastando
Luego llegan a las siete en punto ahora lo quiere
Cuando dieron las ocho en punto, dijimos: ""A la mierda""
Olvida a tu chica, finge que soy ella
Ven a hacer ronronear al gato, ven a hacer que me duela la espalda, ayy
Haciendo ese chorro y lluvia y ducha y rocío
Ahora eso es perfecto, cariño, no dormimos lo suficiente
Pero te mantendré despierto, si puedes seguir así (bebé)

¿Puedes quedarte despierto toda la noche? (Toda la noche)
Fóllame hasta la madrugada (Madrugada)
Treinta y cuatro, treinta y cinco (Sí, sí, sí, sí)
¿Puedes quedarte despierto toda la noche? (¿Puedes quedarte?)
Fóllame hasta la madrugada (¿Puedes quedarte?)
Treinta y cuatro, treinta y cinco (Sí, sí, sí, sí)
Te arollare como un bebé
Pero sabes que te mantenere despierto
Bienvenido a mi canal y hoy voy a enseñarte algo (Enseñarte algo)
Puedo hacerlo estallar, piernas arriba como el cancán
Despierta a los vecinos, haz que suene como si la banda estuviera tocando
Chica, déjame ponerme linda (Sí)
Está a punto de llegar (Está a punto de llegar)
He estado en la ducha durante una hora entera
Él actuará como un perro entonces el conseguire el coño calvo
¿Netflix o Hulu? bebé tu eliges
Estoy despierta como Starbucks, tres bombas, ooh
Este coño es bueno para tu salud, llámalo superalimento
Cuando estoy solo haciendo bricolaje como si fuera YouTube
Mala, mala perra, todos los chicos quieren azotarme (azotarme)
Lo dejé en lectura, la novia necesita agradecerme (Gracias)
Haz que los dedos de sus pies apunten, bailarina, sin tutú
Baby, soy el mejor, no sé lo que hacen los demás (ayy, ayy, ayy, sí)
Sumérgete en el agua como una isla privada
Treinta y cuatro, treinta y cinco, podemos sesenta y nueve
Y he sido una chica mala, pero este coño en la lista buena (buena lista)
Espero que no estés cansado, no nos detendremos hasta que termine (ayy, ayy, ayy, sí)

¿Puedes quedarte despierto toda la noche?
Fóllame hasta la madrugada (Sí, sí)
Treinta y cuatro, treinta y cinco (Sí, sí, sí, sí)
¿Puedes quedarte despierto toda la noche? (¿Sabes lo que significa eso?)
Fóllame hasta la madrugada (¿Sabes lo que significa eso?)
Treinta y cuatro, treinta y cinco (Sí, sí, sí, sí)
Sí, sí, sí
Significa que quiero sesenta y nueve contigo (No jodas)
Clases de matemáticas
Nunca fui buena"
Blinding Lights,The Weeknd,"Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm going through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey
Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch"
Save Your Tears,The Weeknd & Ariana Grande,"Ooh (Ooh)
Na-na, yeah

I saw you dancing in a crowded room (Uh)
You look so happy when I'm not with you
But then you saw me, caught you by surprise
A single teardrop falling from your eye

I don't know why I run away (Oh)
I make you cry when I run away (Oh)

Take me back 'cause I wanna stay
Save your tears for another

Save your tears for another day (Oh)
Save your tears for another day (Mm)

Met you once under a Pisces moon
I kept my distance 'cause I know that you
Don't like when I'm with nobody else
I couldn't help it, I put you through hell
I don't know why I run away, oh boy (Run away, oh yeah; oh)
I make you cry when I run away (Away, oh; oh)

Boy, take me back 'cause I wanna stay
Save your tears for another
I realize that it's much too late
And you deserve someone better

Save your tears for another day (Oh)
Save your tears for another day (Oh)

(Bum, bum, bum, bum, bum)
I don't know why I run away (Oh)
(Bum, bum, bum, bum, bum)
I make you cry when I run away (Save)

Save your tears for another day (Ooh; oh)
Ooh, girl, I said (Okay)
Save (Save) your (Your) tears for another day (Oh yeah, yeah; oh)

Save your tears for another day (Oh)
Save your tears for another day (Oh)
Save your tears for another day"
Mood,24kGoldn ,"Oh-oh-oh
Yeah, yeah, yeah, yeah (Yeah)

Why you always in a mood? Fuckin' 'round, actin' brand new
I ain't tryna tell you what to do, but try to play it cool
Baby, I ain't playing by your rules
Everything look better with a view
Why you always in a mood? Fuckin' 'round, actin' brand new
I ain't tryna tell you what to do, but try to play it cool
Baby, I ain't playing by your rules
Everything look better with a view, yeah

I could never get attached
When I start to feel, I unattach
Somehow I always end up feeling bad
Baby, I am not your dad, it's not all you want from me
I just want your company
Girl, it's obvious, elephant in the room
And we're a part of it, don't act so confused
And you love startin' it, now I'm in a mood
Now we arguin' in my bedroom

We play games of love to avoid the depression
We been here before and I won't be your victim
Why you always in a mood? Fuckin' 'round, actin' brand new
I ain't tryna tell you what to do, but try to play it cool
Baby, I ain't playing by your rules
Everything look better with a view
Why you always in a mood? Fuckin' 'round, actin' brand new
I ain't tryna tell you what to do, but try to play it cool
Baby, I ain't playing by your rules
Everything look better with a view

So why you tryin' to fake your love on the regular
When you could be blowin' up just like my cellular?
I won't ever let a shorty go and set me up
Only thing I need to know is if you wet enough
I'm talking slick back, kick back, gang sippin' fourties
You keep playin', not another day with you, shorty
Mismatched fits, that was way before you know me
Got a lot of love, well, you better save it for me

We play games of love to avoid the depression
We been here before and I won't be your victim

Why you always in a mood? Fuckin' 'round, actin' brand new
I ain't tryna tell you what to do, but try to play it cool
Baby, I ain't playing by your rules
Everything look better with a view
Why you always in a mood? Fuckin' 'round, actin' brand new
I ain't tryna tell you what to do, but try to play it cool
Baby, I ain't playing by your rules
Everything look better with a view, yeah"
Calling My Phone,Lil Tjay ,"Steady callin' my phone
I done told you before that it's over, leave me 'lone
Know it's hurtin' you to see me gone
Dark clouds, you gon' see me storm
I won't go back
But trust me, you're gon' hold that
Hold that (Mmm, mmm)

Get you off my mind now
I can't get you off my mind now
I can't get you off my mind now
I can't get you off my mind now (Mmm, mmm)
I can't get you off my mind now
I can't get you off my mind now
I can't get you off my mind now
I can't get you off my mind now (Mmm, mmm)

I ain't tryna play these games no more
I don't wanna be textin' your name no more
I ain't tryna feel this pain no more
Girl, I'm sorry, but my feelings ain't the same no more (No)
Used to be my homie, you ain't gang no more (No)
I am not a nigga you could claim no more (No)
Traumatized, hoping it don't rain no more
You done put me through some things that done changed my aura
Now all around the world, I explore, no Dora
New bitch, I might drip her in Dior
Ass fat, shawty straight heat, no Florida
Bad and she do it for herself, I applaud her
No needs, yeah, I'm talkin' my boo
So please, leave me alone I'm through
And it's all 'cause what you started
I been told you you gon' lose (Mmm)
Steady callin' my phone (Brrt)
I done told you before that it's over, leave me 'lone
Know it's hurtin' you to see me gone
Dark clouds, you gon' see me storm
I won't go back (Go back)
But trust me, you're gon' hold that
Hold that (Mmm, mmm)

Get you off my mind now (Ooh, wow)
I can't get you off my mind now (Yeah, yeah)
I can't get you off my mind now (My mind)
I can't get you off my mind now (Mmm, mmm) (Alright)
I can't get you off my mind now (Woah)
I can't get you off my mind now (Woah)
I can't get you off my mind now (Yeah)
I can't get you off my mind now (Mmm, mmm)

I ain't tryna play no games, my love
I'm one of a kind, couldn't fake, my love
Earthquake, make somethin' shake, my love
Most of them can't even relate, my love
Used to be gang, oh, now you're not gang
Used to have fun, no, now you got shame
Used to catch flights, but now I'm not playin'
Play on words, she love it when a nigga sing
I ain't tryna play your game no more
No, you can't wear my chain no more
We are not a thing, can't take no more
Waitin' on your king, you could wait some more
Yeah, I remember days when I used to adore her
Funny how this shit just flipped like a quarter
Get a new thing, I'ma Fendi and Dior her
Get a mood swing, I'll be gone by tomorrow (Mmm, mmm)
Steady callin' my phone (Brrt)
I done told you before that it's over, leave me 'lone (Yeah, yeah)
Know it's hurtin' you to see me gone
Dark clouds, you gon' see me storm
I won't go back (I won't go back)
But trust me, you're gon' hold that (Hold that)
Hold that (Mmm, mmm)

Get you off my mind now (Mind)
I can't get you off my mind now (Mind)
I can't get you off my mind now (Mind)
I can't get you off my mind now (Mmm, mmm) (Mind)
I can't get you off my mind now (Mind)
I can't get you off my mind now (Mind)
I can't get you off my mind now (Yeah)
I can't get you off my mind now (Mmm, mmm)
I can't"
Positions,Ariana Grande,"Heaven sent you to me
I'm just hopin’ I don't repeat history

Boy, I'm tryna meet your mama on a Sunday
Then make a lotta love on a Monday (Ah, ah)
Never need no (No), no one else, babe
’Cause I'll be

Switchin' them positions for you
Cookin' in the kitchen and I'm in the bedroom
I'm in the Olympics, way I'm jumpin' through hoops
Know my love infinite, nothin’ I wouldn’t do
That I won't do, switchin’ for you

Perfect, perfect
You're too good to be true (You're too good to be true)
But I get tired of runnin', fuck it
Now, I’m runnin' with you (With you)

Said, boy, I'm tryna meet your mama on a Sunday
Then make a lotta love on a Monday (Ah, ah)
Never need no (No), no onе else, babe
'Causе I'll be
Switchin' them positions for you
Cookin' in the kitchen and I'm in the bedroom
I'm in the Olympics, way I'm jumpin' through hoops
Know my love infinite, nothin' I wouldn't do
That I won't do, switchin' for you
Cookin' in the kitchen and I'm in the bedroom
I'm in the Olympics, way I'm jumpin' through hoops
Know my love infinite, nothin' I wouldn't do (Nothin')
That I won't do, switchin' for you

This some shit that I usually don't do (Yeah)
But for you, I kinda, kinda want to (Mmm)
'Cause you're down for me and I'm down too (And I'm down too)
Yeah, I'm down too
Switchin' the positions for you
This some shit that I (Yeah) usually don't do (Don't do)
But for you, I kinda, kinda want to (Mmm)
'Cause you're down for me and I'm down too ('Cause you're down for me)

Switchin' them positions for you
Cookin' in the kitchen and I'm in the bedroom
I'm in the Olympics, way I'm jumpin' through hoops (Jumpin', jumpin')
Know my love infinite, nothin' I wouldn't do
That I won't do, switchin' for you (Ooh woah)
Cookin' in the kitchen and I'm in the bedroom
I'm in the Olympics, way I'm jumpin' through hoops
Know my love infinite, nothin' I wouldn't do (I wouldn't do)
That I won't do, switchin' for you
Yeah
Ah, yeah
Ah (Ah), yeah"
Levitating,Dua Lipa ,"If you wanna run away with me, I know a galaxy
And I can take you for a ride
I had a premonition that we fell into a rhythm
Where the music don't stop for life
Glitter in the sky, glitter in my eyes
Shining just the way I like
If you're feeling like you need a little bit of company
You met me at the perfect time

You want me, I want you, baby
My sugarboo, I'm levitating
The Milky Way, we're renegading
Yeah, yeah, yeah, yeah, yeah

I got you, moonlight, you're my starlight
I need you all night, come on, dance with me
I'm levitating
You, moonlight, you're my starlight (You're the moonlight)
I need you all night, come on, dance with me
I'm levitating

I believe that you're for me, I feel it in our energy
I see us written in the stars
We can go wherever, so let's do it now or never
Baby, nothing's ever, ever too far
Glitter in the sky, glitter in our eyes
Shining just the way we are
I feel like we're forever every time we get together
But whatever, let's get lost on Mars
You want me, I want you, baby
My sugarboo, I'm levitating
The Milky Way, we're renegading
Yeah, yeah, yeah, yeah, yeah

I got you, moonlight, you're my starlight
I need you all night, come on, dance with me
I'm levitating
You, moonlight, you're my starlight (You're the moonlight)
I need you all night, come on, dance with me
I'm levitating

You can fly away with me tonight
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah
I'm levitating (Woo)
You can fly away with me tonight
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah (Woo)

My love is like a rocket, watch it blast off
And I'm feeling so electric, dance my ass off
And even if I wanted to, I can't stop
Yeah, yeah, yeah, yeah, yeah
My love is like a rocket, watch it blast off
And I'm feeling so electric, dance my ass off
And even if I wanted to, I can't stop
Yeah, yeah, yeah, yeah, yeah
You want me, I want you, baby
My sugarboo, I'm levitating
The Milky Way, we're renegading

I got you (Yeah), moonlight, you're my starlight
I need you all night (All night), come on, dance with me
I'm levitating (Woo)

You can fly away with me tonight (Tonight)
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah (Take you for a ride)
I'm levitating (Woo)
You can fly away with me tonight (Tonight)
You can fly away with me tonight
Baby, let me take you for a ride
Yeah, yeah, yeah, yeah, yeah (Let me take you for a ride)

I got you, moonlight, you're my starlight (You are my starlight)
I need you all night, come on, dance with me (Come on, dance with me)
I'm levitating
You, moonlight, you're my starlight (You're the moonlight)
I need you all night, come on, dance with me
I'm levitating"
